nombre_empresa;pais;opera_otrospaises;sector_empresa;numero_empleados;infraestructura_critica;activos_criticos;pilares_prioritarios;actor_amenaza;incidente_sufrido;pilar_critico;sistemas_operativos;despliegue_sistemas;centros_datos;segmentacion_red;vpn;firewall;monitorizacion_red;balanceadores;antiphishing;edr;actualizaciones;frecuencia_actualizaciones;autenticacion;politica_contraseñas;iam;revocacion;backups;evento_amenaza
EducaciónSoluciones_AUS110;Austria;No;Educación;Más de 1000;No;Datos / Información sensible, Redes de comunicaciones, Datos personales;Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Debian 12;Local (On-premise);1;No;Opcional;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Solución propia;No;Semanales;Brecha de datos
OutsideSoluciones_ITL111;Italia;Sí;Alimentación;Más de 1000;Sí;Infraestructura TIC (Hardware), Aplicaciones informáticas (Software), Redes de comunicaciones;Disponibilidad, Integridad, Confidencialidad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Debian 12;Nube privada;Más de 2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Ninguna;No;No aplican;Destrucción física
GestiónSoluciones_FRA112;Francia;Sí;Gestión de servicios;50 - 1000;No;Servicios en la nube, Redes de comunicaciones, Infraestructura TIC (Hardware);Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Local (On-premise);1;No;No;No;Sí, de forma continua;No;Sí;Solo antivirus básico;Sí;Semanales;No;Sí, obligatoria;Ninguna;Sí;Semanales;DDoS
TicSoluciones_ESL113;Eslovaquia;Sí;TIC;50 - 1000;Sí;Redes de comunicaciones, Servicios en la nube;Disponibilidad, Integridad, Confidencialidad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Fedora 42;Nube pública (AWS, Azure, GCP);2;Sí, completa;No;Sí;Sí, parcialmente;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
IndustriaSoluciones_GRE114;Grecia;Sí;Industria / Manufactura;Más de 1000;No;Sistemas de Control Industrial (ICS/SCADA), Redes de comunicaciones, Servicios en la nube;Disponibilidad, Confidencialidad, Integridad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Local (On-premise);2;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;No;Solo antivirus básico;Sí;Con frecuencia;No;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;No aplican;DDoS
EnergíaSoluciones_ALE115;Alemania;Sí;Energía;50 - 1000;Sí;Infraestructura TIC (Hardware), Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Híbrido;2;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
GestiónSoluciones_LIT116;Lituania;Sí;Gestión de residuos;Menos de 50;No;Aplicaciones informáticas (Software);Disponibilidad, Integridad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Debian 9;Local (On-premise);1;Parcial;No;Sí;Sí, de forma continua;No;No;No;Sí;Mensualmente;Solo sistemas críticos;Sí, obligatoria;Solución propia;Sí;Semanales;DDoS
GestiónSoluciones_CHI117;Chipre;Sí;Gestión de servicios;50 - 1000;No;Servicios en la nube, Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Híbrido;1;No;No;No;Sí, parcialmente;No;No;Solo antivirus básico;No;Más de un mes;No;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;DDoS
CenterSoluciones_GRE118;Grecia;Sí;Alimentación;50 - 1000;Sí;Sistemas de Control Industrial (ICS/SCADA);Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Windows 10;Híbrido;Más de 2;Parcial;Sí, obligatoria;Sí;Sí, parcialmente;No;No;Solo antivirus básico;Sí;Semanales;Todos los accesos;Sí, obligatoria;Ninguna;No;Mensualmente;Fraude
NiceSoluciones_POL119;Polonia;Sí;Energía;50 - 1000;Sí;Infraestructura TIC (Hardware);Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Debian 12;Híbrido;2;No;Opcional;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;No;Más de un mes;Todos los accesos;Sí, obligatoria;Ninguna;Sí;Semanales;Fraude
BelieveSoluciones_CHP120;Chipre;No;Agua potable;50 - 1000;Sí;Infraestructura TIC (Hardware);Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Ubuntu 25;Nube privada;Más de 2;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;No;No;Sí, EDR;No;Diarias;Todos los accesos;Sí, obligatoria;Solución propia;Sí;Diarias;Destrucción física
NewspaperSoluciones_ALM121;Alemania;Sí;Agua potable;Menos de 50;Sí;Sistemas de Control Industrial (ICS/SCADA);Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;macOS 15;Híbrido;2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Solución propia;No;Semanales;Destrucción física
AlimentaciónSoluciones_CRO122;Croacia;Sí;Alimentación;Menos de 50;Sí;Redes de comunicaciones, Aplicaciones informáticas (Software), Servicios en la nube;Disponibilidad, Integridad, Confidencialidad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Nube privada;2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
NewspaperSoluciones_LTN131;Lituania;Sí;Medios / Entretenimiento;Menos de 50;No;Infraestructura TIC (Hardware);Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Windows 11;Híbrido;Más de 2;Parcial;Sí, obligatoria;No;Sí, parcialmente;Sí;Sí;Sí, EDR;No;No se revisa si existen nuevas actualizaciones;No;Sí, obligatoria;Azure AD / Okta / LDAP;No;No aplican;Destrucción física
AgreementSoluciones_DNM124;Dinamarca;No;Industria / Manufactura;50 - 1000;No;Infraestructura TIC (Hardware);Disponibilidad, Integridad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Nube privada;Más de 2;Sí, completa;No;Sí;Sí, de forma continua;No;Sí;Sí, EDR;No;Más de un mes;No;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;DDoS
FinancialSoluciones_FLD125;Finlandia;Sí;Transporte;Menos de 50;Sí;Sistemas de Control Industrial (ICS/SCADA), Infraestructura TIC (Hardware), Redes de comunicaciones;Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Fedora 42;Local (On-premise);1;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Mensualmente;Destrucción física
AbilitySoluciones_CRO126;Croacia;Sí;Alimentación;Más de 1000;Sí;Sistemas de Control Industrial (ICS/SCADA);Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Windows 10;Híbrido;Más de 2;Sí, completa;Sí, obligatoria;Sí;Sí, parcialmente;Sí;Sí;Sí, EDR;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Ninguna;No;No aplican;Destrucción física
TransporteSoluciones_CRO127;Croacia;Sí;Transporte;Menos de 50;Sí;Redes de comunicaciones, Infraestructura TIC (Hardware), Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Integridad, Confidencialidad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;Windows 10;Nube pública (AWS, Azure, GCP);1;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Ransomware
CallSoluciones_CRO128;Croacia;Sí;Defensa;50 - 1000;Sí;Sistemas de Control Industrial (ICS/SCADA);Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Debian 12;Nube privada;Más de 2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;No;No se revisa si existen nuevas actualizaciones;Solo sistemas críticos;Sí, obligatoria;Solución propia;Sí;Mensualmente;DDoS
PlanSoluciones_BLG129;Bulgaria;Sí;Transporte;Menos de 50;Sí;Sistemas de Control Industrial (ICS/SCADA), Infraestructura TIC (Hardware), Redes de comunicaciones;Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;macOS 15;Híbrido;Más de 2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Ninguna;Sí;Diarias;Destrucción física
SmallSoluciones_FLD130;Finlandia;Sí;Defensa;Más de 1000;Sí;Infraestructura TIC (Hardware), Redes de comunicaciones;Disponibilidad, Confidencialidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 10;Local (On-premise);2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;No;No;Solo antivirus básico;No;Semanales;Solo sistemas críticos;Sí, obligatoria;Solución propia;Sí;Semanales;Ransomware
NewspaperSoluciones_NRG131;Noruega;Sí;Defensa;Menos de 50;Sí;Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Integridad, Confidencialidad;Factor meteorológico adverso (externo, accidental);Ataques contra la integridad;Disponibilidad;Fedora 42;Híbrido;Más de 2;No;Sí, obligatoria;Sí;Sí, parcialmente;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;No aplican;Destrucción física
WhateverSoluciones_GRE132;Grecia;Sí;Banca / Finanzas;Más de 1000;Sí;Sistemas de Control Industrial (ICS/SCADA);Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;macOS 15;Local (On-premise);1;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Semanales;Solo sistemas críticos;Sí, obligatoria;Solución propia;No;Mensualmente;Destrucción física
TicSoluciones_PAÍ133;Países Bajos;Sí;TIC;50 - 1000;Sí;Aplicaciones informáticas (Software), Redes de comunicaciones;Disponibilidad, Integridad, Confidencialidad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Nube privada;2;Sí, completa;Opcional;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;DDoS
LetSoluciones_ESL134;Eslovaquia;No;Medios / Entretenimiento;50 - 1000;No;Infraestructura TIC (Hardware);Disponibilidad, Integridad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Fedora 42;Local (On-premise);2;Parcial;Opcional;Sí;No;No;No;Sí, EDR;Sí;Semanales;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;No aplican;Destrucción física
ForSoluciones_HGR135;Hungría;No;Infraestructura digital;Más de 1000;Sí;Sistemas de Control Industrial (ICS/SCADA);Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Windows 10;Híbrido;Más de 2;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Solución propia;No;Semanales;Fraude
IndustriaSoluciones_LUX136;Luxemburgo;Sí;Industria / Manufactura;Más de 1000;No;Sistemas de Control Industrial (ICS/SCADA), Redes de comunicaciones, Servicios en la nube;Disponibilidad, Integridad, Confidencialidad;Empleado con privilegios (interno, intencionado);Ataques contra la disponibilidad;Disponibilidad;macOS 13;Local (On-premise);2;No;Sí, obligatoria;No;No;Sí;No;Sí, EDR;No;Más de un mes;Todos los accesos;Sí, obligatoria;Solución propia;Sí;Semanales;DDoS
QuiteSoluciones_RPC137;República Checa;Sí;Energía;Menos de 50;Sí;Sistemas de Control Industrial (ICS/SCADA), Redes de comunicaciones;Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Fedora 42;Nube privada;1;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Ninguna;Sí;Mensualmente;Destrucción física
MajoritySoluciones_LTN138;Lituania;Sí;Transporte;50 - 1000;Sí;Infraestructura TIC (Hardware),Sistemas de Control Industrial (ICS/SCADA), Redes de comunicaciones;Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Windows 10;Local (On-premise);2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Diarias;Ransomware
NoticeSoluciones_PSB139;Países Bajos;Sí;Gestión de residuos;Menos de 50;No;Infraestructura TIC (Hardware);Disponibilidad, Integridad, Confidencialidad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Híbrido;Más de 2;Parcial;No;No;Sí, de forma continua;Sí;No;Solo antivirus básico;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;No aplican;Destrucción física
TheSoluciones_ELV140;Eslovaquia;No;Agua potable;Menos de 50;Sí;Redes de comunicaciones;Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Windows 11;Local (On-premise);Más de 2;Parcial;Sí, obligatoria;Sí;Sí, parcialmente;Sí;Sí;Solo antivirus básico;Sí;Semanales;Todos los accesos;Sí, obligatoria;Ninguna;Sí;Diarias;Destrucción física
AdministraciónSol_GRE141;Grecia;Sí;Administración pública;Menos de 50;Sí;Datos personales;Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 10;Híbrido;Más de 2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;Ransomware
AguaSol_POR142;Portugal;Sí;Agua potable;50 - 1000;Sí;Aplicaciones informáticas (Software), Sistemas de Control Industrial (ICS/SCADA), Servicios en la nube;Disponibilidad, Confidencialidad, Integridad;Empleado con privilegios (interno, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Nube privada;2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Ransomware
AguasResiSol_BÉL143;Bélgica;Sí;Aguas residuales;Menos de 50;Sí;Infraestructura TIC (Hardware), Servicios en la nube, Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Confidencialidad, Integridad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Local (On-premise);2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Ransomware
EnergySol_ITA144;Italia;Sí;Energía;50 - 1000;Sí;Infraestructura TIC (Hardware), Redes de comunicaciones;Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Nube pública (AWS, Azure, GCP);1;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Ransomware
MS_IRL145;Irlanda;No;Gestión de residuos;Menos de 50;No;Infraestructura TIC (Hardware), Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Confidencialidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 10;Híbrido;1;Sí, completa;Opcional;No;No;No;No;Solo antivirus básico;No;Mensualmente;Solo sistemas críticos;Sí, obligatoria;Ninguna;Sí;Semanales;Ransomware
GestiónSoluciones_BUL146;Bulgaria;No;Gestión de servicios;50 - 1000;No;Datos personales, Sistemas de Control Industrial (ICS/SCADA), Datos / Información sensible;Confidencialidad, Disponibilidad, Integridad;Empleado con privilegios (interno, intencionado);Ataques contra la confidencialidad;Confidencialidad;Fedora 38;Híbrido;1;Sí, completa;Sí, obligatoria;No;Sí, de forma continua;No;Sí;Solo antivirus básico;No;No se revisa si existen nuevas actualizaciones;Solo sistemas críticos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Ransomware
AdminPubliSol_EST147;Estonia;Sí;Administración pública;50 - 1000;Sí;Infraestructura TIC (Hardware), Redes de comunicaciones;Disponibilidad, Integridad, Confidencialidad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Debian 12;Nube privada;2;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;Ransomware
InfraestructuraSol_ALE148;Alemania;Sí;Infraestructura digital;Menos de 50;Sí;Redes de comunicaciones, Aplicaciones informáticas (Software);Disponibilidad, Confidencialidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 10;Híbrido;1;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Ransomware
EntertainmentSol_POL149;Polonia;No;Medios / Entretenimiento;50 - 1000;No;Infraestructura TIC (Hardware), Aplicaciones informáticas (Software), Redes de comunicaciones;Disponibilidad, Integridad, Confidencialidad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;Ubuntu 24;Nube privada;2;No;Opcional;Sí;Sí, de forma continua;Sí;No;Solo antivirus básico;No;Mensualmente;Solo sistemas críticos;Sí, obligatoria;Solución propia;Sí;No aplican;Ransomware
AcademiaSol_LET150;Letonia;No;Educación;50 - 1000;No;Sistemas de Control Industrial (ICS/SCADA), Infraestructura TIC (Hardware);Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Local (On-premise);2;Parcial;Opcional;Sí;Sí, parcialmente;No;No;Sí, EDR;No;No se revisa si existen nuevas actualizaciones;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Diarias;Ransomware
ServicesSol_REP151;República Checa;No;Servicios postales / Mensajería;50 - 1000;Sí;Aplicaciones informáticas (Software), Servicios en la nube, Redes de comunicaciones;Disponibilidad, Integridad, Confidencialidad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 14;Nube pública (AWS, Azure, GCP);2;Sí, completa;No;Sí;Sí, parcialmente;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Solución propia;Sí;Diarias;Ransomware
FerroSol_DIN152;Dinamarca;Sí;Transporte;Menos de 50;Sí;Redes de comunicaciones, Infraestructura TIC (Hardware), Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Confidencialidad, Integridad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Nube pública (AWS, Azure, GCP);1;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Ransomware
WaterSol_ESL153;Eslovaquia;Sí;Agua potable;50 - 1000;Sí;Redes de comunicaciones, Aplicaciones informáticas (Software), Servicios en la nube;Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Ubuntu 24;Híbrido;2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Ransomware
CanalSol_SUE154;Suecia;No;Aguas residuales;Menos de 50;Sí;Aplicaciones informáticas (Software), Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Integridad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Híbrido;1;Parcial;Opcional;Sí;Sí, parcialmente;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Ninguna;Sí;Diarias;Ransomware
BancaSol_LIT155;Lituania;Sí;Banca / Finanzas;50 - 1000;Sí;Datos / Información sensible, Infraestructura TIC (Hardware), Aplicaciones informáticas (Software), Datos personales;Confidencialidad, Integridad, Disponibilidad;Empleado con privilegios (interno, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 11;Nube pública (AWS, Azure, GCP);1;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;No aplican;Ransomware
ComercioSol_EST156;Estonia;No;Comercio minorista;50 - 1000;No;Infraestructura TIC (Hardware), Redes de comunicaciones;Disponibilidad, Integridad, Confidencialidad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Fedora 42;Nube privada;1;Sí, completa;No;Sí;Sí, parcialmente;No;Sí;Sí, EDR;Sí;Mensualmente;No;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;Ransomware
DefenseSol_MAL157;Malta;No;Defensa;Más de 1000;Sí;Redes de comunicaciones, Infraestructura TIC (Hardware), Aplicaciones informáticas (Software);Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Nube privada;Más de 2;Parcial;Sí, obligatoria;Sí;Sí, parcialmente;Sí;Sí;No;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Solución propia;Sí;Diarias;Ransomware
EduSoluciones_POR158;Portugal;Sí;Educación;Más de 1000;No;Aplicaciones informáticas (Software), Sistemas de Control Industrial (ICS/SCADA), Redes de comunicaciones;Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Nube privada;1;No;Opcional;Sí;Sí, parcialmente;Sí;Sí;Solo antivirus básico;Sí;Más de un mes;Solo sistemas críticos;Sí, obligatoria;Solución propia;Sí;Diarias;Ransomware
MediCareSol_DIN159;Dinamarca;Sí;Salud;50 - 1000;Sí;Infraestructura TIC (Hardware), Aplicaciones informáticas (Software), Redes de comunicaciones;Disponibilidad, Integridad, Confidencialidad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Híbrido;2;No;No;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Ransomware
FabriSol_FRA160;Francia;No;Industria / Manufactura;Más de 1000;No;Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Integridad, Confidencialidad;Empleado con privilegios (interno, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Híbrido;2;No;No;Sí;No;No;Sí;Sí, EDR;Sí;Más de un mes;Solo sistemas críticos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Ransomware
InfraSol_ALE161;Alemania;Sí;Infraestructura digital;Menos de 50;Sí;Redes de comunicaciones, Infraestructura TIC (Hardware), Servicios en la nube;Disponibilidad, Confidencialidad, Integridad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;Debian 12;Nube privada;2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Ransomware
MediaSol_IRL162;Irlanda;Sí;Medios / Entretenimiento;50 - 1000;No;Redes de comunicaciones, Infraestructura TIC (Hardware), Servicios en la nube;Disponibilidad, Confidencialidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Nube pública (AWS, Azure, GCP);2;Parcial;Sí, obligatoria;Sí;No;No;No;No;Sí;Mensualmente;No;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Ransomware
HealthySol_BÉL163;Bélgica;Sí;Salud;Menos de 50;Sí;Datos personales;Confidencialidad, Disponibilidad, Integridad;Empleado con privilegios (interno, accidental);Ataques contra la confidencialidad;Confidencialidad;macOS 14;Híbrido;1;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Diarias;Ransomware
ServiGestiones_POL164;Polonia;No;Servicios empresariales;50 - 1000;No;Datos personales, Datos / Información sensible;Confidencialidad, Disponibilidad, Integridad;Empleado con privilegios (interno, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 10;Local (On-premise);1;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;No;No se revisa si existen nuevas actualizaciones;No;Sí, obligatoria;Solución propia;No;Semanales;Ransomware
CareSol_IRL165;Irlanda;No;Salud;50 - 1000;Sí;Redes de comunicaciones, Infraestructura TIC (Hardware);Disponibilidad, Confidencialidad, Integridad;Empleado con privilegios (interno, intencionado);Ataques contra la disponibilidad;Disponibilidad;Ubuntu 25;Híbrido;2;Sí, completa;Opcional;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;No;Mensualmente;Solo sistemas críticos;Sí, obligatoria;Ninguna;Sí;No aplican;Ransomware
